job_id,nodes,tasks-per-node,cpu-per-task,total_computation,priority,dependency
54,26,8,3,405e12,1,(42)
55,42,5,4,267e12,1,(48,20)
56,34,7,2,104e12,1,(10,55)
57,16,15,2,433e12,1,(14)
58,17,13,2,524e12,1,(33,43,37)
59,36,2,3,468e12,1,(52)
60,35,15,4,637e12,1,(38,15)
61,43,3,3,245e12,1,(18,44,15)
62,41,6,1,585e12,1,(48,22,39)
63,45,3,2,361e12,1,()
64,3,15,1,573e12,1,()
65,4,7,2,352e12,1,(61)
66,44,2,2,434e12,1,(17,11)
67,10,18,3,180e12,1,(60,6)
68,28,9,2,145e12,1,(56,12,21)
69,4,2,4,576e12,1,(45,36,20)
70,26,1,2,247e12,1,(24,0)
71,11,6,4,251e12,1,()
72,16,18,2,422e12,1,(60,6)
73,3,8,1,387e12,1,(50,10)
74,34,3,4,112e12,1,(62)
75,8,13,2,101e12,1,()
76,25,11,3,624e12,1,(1,36,57)
77,32,7,4,317e12,1,(57)
78,28,16,4,564e12,1,(48,49)
79,13,13,3,236e12,1,()
80,40,12,1,388e12,1,(57)
81,26,17,1,373e12,1,(52)
82,21,18,2,597e12,1,(50,19)
83,27,14,3,682e12,1,(70)
84,38,5,3,649e12,1,(3)
85,11,17,1,619e12,1,()
86,48,3,3,392e12,1,()
87,9,2,2,305e12,1,()
88,6,14,4,466e12,1,(79)
89,8,7,3,634e12,1,(43,37)
90,46,4,3,478e12,1,()
91,13,5,4,507e12,1,(34,27)
92,1,13,4,596e12,1,(15)
93,27,14,1,466e12,1,(48,85,21)
94,24,5,4,560e12,1,(12)
95,27,6,3,552e12,1,(32,8,28)
96,32,7,1,137e12,1,(33)
97,13,7,4,579e12,1,(10,13,77)
98,32,9,3,189e12,1,(34)
99,41,9,4,649e12,1,(12)
100,29,12,4,343e12,1,()
101,17,7,2,159e12,1,()
102,40,3,3,111e12,1,(26)
103,39,12,3,337e12,1,(76,15)
104,17,7,2,207e12,1,()
105,9,11,2,219e12,1,(70)
106,27,5,2,627e12,1,(83,79)
107,48,18,3,493e12,1,(10,76,79)
108,47,8,2,498e12,1,(67)
109,38,5,2,669e12,1,(80,58)
110,41,12,3,300e12,1,(69)
111,30,3,3,170e12,1,(8,4,45)
112,48,16,1,563e12,1,(48,67)
113,17,16,4,219e12,1,(51)
114,5,12,1,453e12,1,()
115,15,3,2,634e12,1,(58,6,39)
116,17,12,3,247e12,1,(62)
117,33,2,2,158e12,1,(48,19)
118,40,12,2,217e12,1,()
119,34,16,1,317e12,1,(34)
120,41,11,4,522e12,1,()
121,50,16,2,286e12,1,(60)
122,48,12,3,547e12,1,(92)
123,2,4,1,351e12,1,(72,17)
124,49,11,4,600e12,1,(83)
125,25,11,1,334e12,1,(19,35,7)
126,20,5,3,188e12,1,()
127,34,10,4,234e12,1,(46,124,30)
128,25,2,4,564e12,1,(127)
129,38,17,2,214e12,1,()
130,19,4,4,396e12,1,()
131,3,15,2,271e12,1,(90,119)
132,21,17,1,433e12,1,(120)
133,21,7,3,665e12,1,(72,1,39)
134,47,9,1,617e12,1,(74)
135,20,12,4,418e12,1,()
136,17,1,2,378e12,1,(42,78)
137,16,18,3,663e12,1,(102,94,7)
138,13,17,1,325e12,1,()
139,4,3,3,467e12,1,(37)
140,7,14,3,372e12,1,()
141,44,11,1,430e12,1,()
142,29,14,3,516e12,1,(137,57)
143,19,4,4,285e12,1,(58,55)
144,37,2,1,127e12,1,(89)
145,9,9,3,644e12,1,(49,58)
146,37,9,3,380e12,1,(15)
147,46,3,4,159e12,1,(88,146)
148,3,9,2,344e12,1,()
149,20,6,2,439e12,1,(105)
150,1,9,2,240e12,1,(126)
151,17,2,4,588e12,1,(147,148)
152,29,16,3,294e12,1,(64,106,110)
153,2,13,2,366e12,1,(103)
154,35,3,4,452e12,1,(150,119)
155,49,12,2,595e12,1,(42)
156,42,3,3,306e12,1,(27,109,151)
157,45,18,3,222e12,1,()
158,34,18,3,289e12,1,(36,39)
159,9,9,1,590e12,1,(116,125)
160,37,5,2,629e12,1,()
161,44,4,4,467e12,1,(17,122,86)
162,47,15,2,383e12,1,(9,126,14)
163,28,2,2,271e12,1,()
164,7,7,3,339e12,1,(16,150)
165,22,9,2,570e12,1,(161,42,63)
166,31,12,4,559e12,1,()
167,26,10,4,534e12,1,()
168,9,4,2,433e12,1,(52)
169,10,14,3,683e12,1,()
170,40,13,3,352e12,1,(139,155,22)
171,8,15,4,116e12,1,(92,20)
172,29,9,3,152e12,1,()
173,14,5,2,691e12,1,(161,28)
174,17,14,2,430e12,1,(168,108)
175,27,14,4,504e12,1,()
176,8,18,3,181e12,1,(173)
177,22,7,2,449e12,1,(29)
178,9,8,4,268e12,1,(19,110,23)
179,18,10,1,136e12,1,(64,75)
180,48,4,1,346e12,1,(120,9,86)
181,44,1,1,215e12,1,(114,68)
182,17,3,4,185e12,1,(66,35)
183,43,6,4,662e12,1,()
184,9,3,2,294e12,1,(52)
185,36,3,3,509e12,1,(65,2,19)
186,13,4,1,216e12,1,(66,179,39)
187,14,10,4,563e12,1,(101)
188,5,13,1,588e12,1,()
189,29,7,3,231e12,1,()
190,6,3,2,488e12,1,(43)
191,34,8,4,265e12,1,(161,91,164)
192,13,8,4,405e12,1,()
193,10,2,1,554e12,1,(112,171)
194,29,13,2,672e12,1,(136,58,119)
195,15,14,3,129e12,1,()
196,41,10,4,148e12,1,()
197,46,2,4,464e12,1,(176,42,52)
198,11,1,2,624e12,1,(18,92,134)
199,43,3,1,308e12,1,(128)
